model,train_accuracy,val_accuracy,test_accuracy,train_balanced_acc,val_balanced_acc,test_balanced_acc,train_f1,val_f1,test_f1
Logistic Regression,0.7934782608695652,0.7642276422764228,0.8292682926829268,0.6980237154150197,0.6625457875457875,0.760061919504644,0.7184164955096453,0.6766971811837216,0.7804504887377816
Random Forest,1.0,0.7723577235772358,0.8211382113821138,1.0,0.6891025641025641,0.7760061919504644,1.0,0.7043269230769231,0.7840038314176245
XGBoost,1.0,0.6829268292682927,0.7804878048780488,1.0,0.6236263736263736,0.7393188854489163,1.0,0.6259649122807017,0.7410526315789474
